name			    	color_name	def	spd	type

None			    	MAGENTA		0	0	naked

Clothes		    		DK_BROWN    0	0   clothes

// Tunic			    BROWN_G		2	0	clothes
// War_Suit		    	BROWN_R		3	-1	basic

// Forest armors
Furs                    LT_BROWN    1   0   chest
Breastplate(Wood_Rods)	LT_YELLOW   2	-1	chest
Breastplate(Wood_Slats) BROWN_R   	3	-1	chest
Wicker_Mail(Reeds)	    LT_BROWN    4	-1	basic
Wolf_Rawhide		    LT_GRAY		2	0	basic
Bear_Rawhide		    DK_BROWN	2	0	basic

// Meso armors
Loincloth               OFF_WHITE    0   0   loincloth
Maguey_Clothes          LT_BROWN      0   0  clothes
Cotton_Armor            OFF_WHITE   2   -1   chest
Warrior_Suit(Jaguar)    LT_YELLOW   3   -1   basic
Warrior_Suit(Eagle)     LT_RED      3   -1   basic

// Jungle armors
Cotton_Armwrap          OFF_WHITE   1   0   armwrap

// Tundra armors
Light_Furs              LT_BROWN   1    0   hooded
Walrus_Furs             DK_BROWN   2    0   hooded
Bear_Furs               OFF_WHITE  3    0   hooded

// A few more armors.

// Plains armors
Elk_Hide                TAN        2    0   basic
Moose_Hide              LT_BROWN   3    0   basic
Bison_Hide              DK_BROWN   4    0   basic
// Bear hide
// Rod armor
