name			atk	spd type        texture
// Types are: unarmed, 1h (sword, axe, etc), club (blunt 1h), polearm
Unarmed			1	-1	unarmed     unarmed

Club			2	0	club        club
Staff			2	-1	polearm     staff
Dagger			1	0	1h          dagger

Spear			3	-1	polearm     spear
War_Axe			3	1	1h          axe
Mace			3	1	club        mace

Broadsword		3	0	1h          shortsword

// Forest weapons
War_Club(Wood)    	4	0   club    club
Tomahawk(Flint)		4	0   1h      axe
Spear(Flint)		4	-1  polearm spear
Knife(Flint)  		2	0   1h      dagger


// Plains weapons
Hoe(Bone)           2   0   polearm   hoe-bone
War_Club(Stone)     4   0   club      warclubstone
Lance(Flint)        5   -2  polearm   lance
Battle_Axe(Stone)   4   -1  club      battleaxe
Flail(Stone)        5   -1   club     morningstar
