name				color_name	def	spd	clothes

Clothes				DK_BLUE		0	1	true
Loose Clothes		DK_RED		0	1	true
Marsh Clothes		DK_GREEN	0	1	true
Leather Armor		MD_BROWN	1	0	false

Studded				DK_BROWN	2	0	false
Robes				BROWN_G		1	1	false
Marsh Armor			FOREST_GR	2	0	false

Light Armor			DK_RED		1	1	false
Royal Armor			TAN			3	1	false

Chainmail			MD_GRAY		4	0	false
Light Platemail		LT_GRAY		3	1	false
Heavy Platemail		DK_GRAY		5	-1	false


Caribou Hide		MD_BROWN	2	-1	false
Wolf Hide			OFF_WHITE	3	-1	false
Bear Hide			DK_BROWN	4	-1	false
Bear Pelt			OFF_WHITE	4	0	false

Human Flesh			LT_BROWN	2	0	true
Amautiit			DK_BROWN	2	0	true
Bloody Fur			DK_RED		4	0	true
