tier name 			weapon				armor			upgrades_to

Class:	Desert	    LT_ORANGE   ORANGE  mexica.txt
1	Hunter			Unarmed/Sling		None			Slinger
1	Farmer			Spear				Clothes			Spearman

2	Slinger			Dagger/Sling		Clothes			Jaguar_Spearman/Eagle_Slinger/Serpent_Axeman
2	Spearman		Spear				Clothes			Jaguar_Spearman/Eagle_Slinger/Serpent_Axeman

3	Jaguar_Spearman    	Spear				Clothes			Jaguar_Maceman/Jaguar_Spearman
4	Jaguar_Maceman		Mace/Atlatl			Clothes			Jaguar_Nagual
4	Jaguar_Spearman 	Spear/Shield		Clothes			Jaguar_Nagual
5	Jaguar_Nagual		War_Axe				Clothes			none

3	Eagle_Slinger		Dagger/Sling		Clothes			Eagle_Bowman/Eagle_Warrior
4	Eagle_Bowman    	Dagger/Bow/Arrow	Clothes			Eagle_Nagual
4	Eagle_Warrior		Dagger/Atlatl		Clothes			Eagle_Nagual
5	Eagle_Nagual		War_Axe				Clothes			none

3	Serpent_Axeman		War_Axe				Clothes			Serpent_Axeman/Serpent_Swordsman
4	Serpent_Axeman		War_Axe/Shield		Clothes			Serpent_Nagual
4	Serpent_Swordsman	Broadsword			Clothes			Serpent_Nagual
5	Serpent_Nagual		War_Axe				Clothes			none


Class:	Forest		LT_GREEN    GREEN   oneida-no-weird.txt
1	Villager		Knife(Flint)	               	       None			Warrior_(Nov)/Axeman/Archer/Spearman
1	Hunter			Unarmed/Bow(Ash)/Hunting(Flint)        None			Warrior_(Nov)/Axeman/Archer
1   Fisher          Spear(Flint)                           None            Warrior_(Nov)/Axeman/Spearman

2   Warrior_(Nov)   War_Club(Wood)/Bow(Ash)/Broadhead(Flint)     None            Warrior

3   Warrior         War_Club(Wood)/Bow(Hickory)/Broadhead(Flint) None            Warrior_(Vet)
4   Warrior_(Vet)   War_Club(Wood)/Bow(Locust)/Broadhead(Flint)  Breastplate(Wood_Rods)  Nagual(W)

// Heavy Infantry
3   Spearman        Spear(Flint)                           Breastplate(Wood_Rods)      Spearman_(Vet)
4	Spearman_(Vet)	Spear(Flint)/Spear(Flint)		       Breastplate(Wood_Slats)		Nagual(W)

// Light Infantry
3	Axeman  		Tomahawk(Flint)/Tomahawk(Flint)	       Clothes			Axeman_(Vet)
4	Axeman_(Vet)	Tomahawk(Flint)/Tomahawk(Flint)        Clothes			Nagual(W)

// Archer (based on Southeast culture?)
3   Archer          Knife(Flint)/Strongbow(Maple)/Broadhead(Bone)          Clothes   Archer_(Vet)
4   Archer_(Vet)    Knife(Flint)/Strongbow(Cedar)/Broadhead(Copper)        Clothes   Nagual(B)

// Legendary Units?
5	Nagual(W)		War_Axe				Clothes			none
5	Nagual(B)		War_Axe				Clothes			none


Class:	Plains		LT_YELLOW    YELLOW   cheyenne-no-weird.txt
1	Hunter			Unarmed/Sling		None			Slinger
1	Villager		Staff				None			Spearman

2	Slinger			Dagger/Sling		Clothes			Axeman(W)/Bowman(H)/Clubman(B)
2	Spearman		Spear				Clothes			Axeman(W)/Bowman(H)/Clubman(B)

3	Axeman(W)		War_Axe				Clothes			Axeman(W)/Spearman(W)
4	Axeman(W)		War_Axe         	Clothes			Nagual(W)
4	Spearman(W)		Spear/Shield		Clothes			Nagual(W)
5	Nagual(W)		War_Axe				Clothes			none

3	Bowman(H)		Dagger/Bow			Clothes			Bowman(H)/Warrior(H)
4	Bowman(H)		Dagger/Bow			Clothes			Nagual(H)
4	Warrior(H)		Dagger      		Clothes			Nagual(H)
5	Nagual(H)		War_Axe				Clothes			none

3	Clubman(B)		Club				Clothes			Clubman(B)/Spearman(B)
4	Clubman(B)		Club	        	Clothes			Nagual(B)
4	Spearman(B)		Spear/Shield		Clothes			Nagual(B)
5	Nagual(B)		War_Axe				Clothes			none


Class:	Tundra		LT_PURPLE   PURPLE  inuit.txt
1	Hunter			Unarmed/Bow/Arrow	None			Bowman
1	Fisher			Spear				None			Spearman

2	Bowman			Dagger/Sling		Clothes			Axeman(W)/Bowman(H)/Clubman(B)
2	Spearman		Spear				Clothes			Axeman(W)/Bowman(H)/Clubman(B)

3	Axeman(W)		War_Axe				None			Axeman(W)/Spearman(W)
4	Axeman(W)		War_Axe         	None			Nagual(W)
4	Spearman(W)		Spear/Shield		None			Nagual(W)
5	Nagual(W)		War_Axe				Clothes			none

3	Bowman(H)		Dagger/Bow/Arrow	Clothes			Bowman(H)/Warrior(H)
4	Bowman(H)		Dagger/Bow/Arrow	Clothes			Nagual(H)
4	Warrior(H)		Dagger	        	Clothes			Nagual(H)
5	Nagual(H)		War_Axe				Clothes			none

3	Clubman(B)		Club				Clothes			Clubman(B)/Spearman(B)
4	Clubman(B)		Club        		Clothes			Nagual(B)
4	Spearman(B)		Spear/Shield		Clothes			Nagual(B)
5	Nagual(B)		War_Axe				Clothes			none


Class:	Coast		LT_YELLOW   YELLOW  hawaii.txt
1	Hunter			Bow/Unarmed			None			Bowman
1	Fisher			Spear				None			Spearman

2	Bowman			Sling/Dagger		Clothes			Axeman(W)/Bowman(H)/Clubman(B)
2	Spearman		Spear				Clothes			Axeman(W)/Bowman(H)/Clubman(B)

3	Axeman(W)		War_Axe				Clothes			Axeman(W)/Spearman(W)
4	Axeman(W)		War_Axe         	Clothes			Nagual(W)
4	Spearman(W)		Spear/Shield		Clothes			Nagual(W)
5	Nagual(W)		War_Axe				Clothes			none

3	Bowman(H)		Dagger/Bow/Arrow	Clothes			Bowman(H)/Warrior(H)
4	Bowman(H)		Dagger/Bow/Arrow	Clothes			Nagual(H)
4	Warrior(H)		Dagger	        	Clothes			Nagual(H)
5	Nagual(H)		War_Axe				Clothes			none

3	Clubman(B)		Club				Clothes			Clubman(B)/Spearman(B)
4	Clubman(B)		Club        		Clothes			Nagual(B)
4	Spearman(B)		Spear/Shield		Clothes			Nagual(B)
5	Nagual(B)		War_Axe				Clothes			none
