name			atk	spd type        texture
// Types are: unarmed, 1h (sword, axe, etc), club (blunt 1h), polearm
Unarmed			1	-1	unarmed     Unarmed

Club			2	0	club        club
Staff			2	-1	polearm     staff
Dagger			1	0	1h          dagger

Spear			3	-1	polearm     spear
War_Axe			3	1	1h          axe
Mace			3	1	club        mace

Broadsword		3	0	1h          shortsword

// Forest weapons
War_Club(Wood)    	5	0   club    club
Tomahawk(Flint)		4	0   1h      axe
Spear(Flint)		4	-1  polearm spear
Knife(Flint)  		2	0   1h      dagger
