name        red    grn    blu

RED            255    0    0
GREEN        0    255    0
BLUE        0    0    255

TAN_OLD     150    104    37
LT_BROWN    100    68    20
MD_BROWN    77    55    33
DK_BROWN    64    50    40
DKR_BROWN    47    30    5

BROWN_G        56    50    33
BROWN_R        85    15    18
BROWN_Y        85    63    18

LT_GRAY        102    102    102
MD_GRAY        77    77    90
DK_GRAY        51    51    51
DKR_GRAY    34    34    34

DK_RED        77    51    51
DK_BLUE        51    51    77
DK_GREEN    51    77    51

FOREST_GR    31    85    18

BLACK        0    0    0
WHITE        255    255    255
OFF_WHITE    220    220    220
OFF_BLACK    20    20    20
ICE            180    180    255

ORANGE        255    128    0
YELLOW        255    255    0
PURPLE        171    0    255
CYAN            0    255    255
MAGENTA        255    0    255

LT_RED      255     200     200
LT_GREEN    200     255     200
LT_BLUE     200     200     255

LT_YELLOW   255     255     200
LT_CYAN     200     255     255
LT_MAG      255     200     255

LT_PURPLE   220     200     255
LT_ORANGE   255     220     200

MAROON      128 0   0
BROWN       165 42  42
SIENNA      160 82  45
SADDLEBROWN 139 69  19
CHOCOLATE   210 105 30
PERU        205 133 63
GOLDENROD   218 165 32
SANDYBROWN  244 164 96
ROSYBROWN   188 143 143
TAN         210 180 140
BURLYWOOD   222 184 135
NAVAJOWHITE 255 222 173
BLANCHEDALMOND  255 235 205

DARKRED     139 0   0
FIREBRICK   178 34 34
CRIMSON     220 20  60

SNOW        225 250 250
HONEYDEW    240 255 240
MINTCREAM   245 255 250
AZURE       240 255 255
ALICEBLUE   240 248 255
GHOSTWHITE  248 248 255
WHITESMOKE  245 245 245
SEASHELL    255 245 238
BEIGE       245 245 220
OLDLACE     253 245 230
FLORALWHITE 255 250 240
IVORY       255 255 240
ANTIQUEWHITE    250 235 215
LINEN       250 240 230
LAVENDERBLUSH   255 240 245
MISTYROSE   255 228 225

GAINSBORO   220 220 220
LIGHTGRAY   211 211 211
SILVER      192 192 192
DARKGRAY    169 169 169
GRAY        128 128 128
DIMGRAY     105 105 105
LIGHTSLATEGRAY  119 136 153
SLATEGRAY   112 128 144
DARKSLATEGRAY   47  79  79
