

Class:	Coast		LT_YELLOW   YELLOW  cheyenne-no-weird.txt
1	Hunter			Bow/Unarmed			None			Bowman
1	Fisher			Spear				None			Spearman

2	Bowman			Sling/Dagger		Clothes			Axeman(W)/Bowman(H)/Clubman(B)
2	Spearman		Spear				Clothes			Axeman(W)/Bowman(H)/Clubman(B)

3	Axeman(W)		War_Axe				Clothes			Axeman(W)/Spearman(W)
4	Axeman(W)		War_Axe         	Clothes			Nagual(W)
4	Spearman(W)		Spear	        	Clothes			Nagual(W)
5	Nagual(W)		War_Axe				Clothes			none

3	Bowman(H)		Dagger/Bow/Arrow	Clothes			Bowman(H)/Warrior(H)
4	Bowman(H)		Dagger/Bow/Arrow	Clothes			Nagual(H)
4	Warrior(H)		Dagger	        	Clothes			Nagual(H)
5	Nagual(H)		War_Axe				Clothes			none

3	Clubman(B)		Club				Clothes			Clubman(B)/Spearman(B)
4	Clubman(B)		Club        		Clothes			Nagual(B)
4	Spearman(B)		Spear	        	Clothes			Nagual(B)
5	Nagual(B)		War_Axe				Clothes			none
