tier name 			weapon				armor		upgrades_to         CLASS

// Unit classes are: HVY_INF, LGT_INF, RNG_INF, RNG, STEALTH

Class:	Desert	    LT_ORANGE   ORANGE  mexica.txt
1	Hunter			Unarmed/Sling(Maguey)	Loincloth		Slinger/Clubman     RNG
1	Farmer			Staff       		    Maguey_Clothes  Spearman/Clubman    HVY_INF
1   Villager        Knife(Obsidian)/Rocks  Loincloth        Spearman/Slinger    RNG_INF

// Ranged tree
2	Slinger			Knife(Obsidian)/Sling(Maguey)       Loincloth   Slinger_(Vet)/Archer    RNG
3   Slinger_(Vet)   Knife(Obsidian)/Sling(Maguey)       Loincloth   none                    RNG
3   Archer          Knife(Obsidian)/War_Bow(Oak)        Loincloth   Archer_(Vet)            RNG
4   Archer_(Vet)    Knife(Obsidian)/War_Bow(Tepozan)    Loincloth   none                    RNG

// Shock tree
2	Spearman		Spear(Obsidian)		        Maguey_Clothes      Spearman_(Vet)/Swordsman    HVY_INF
3	Spearman_(Vet)	Spear(Obsidian)/Atlatl(Oak)	Cotton_Armor/Round_Leather    none              HVY_INF

2	Clubman 		War_Club(Wood)		Maguey_Clothes  Clubman_(Vet)   LGT_INF
3	Clubman_(Vet)	War_Club(Stone)		Maguey_Clothes  none            LGT_INF

// TODO Make clubmen stealthy! maybe at level 4 they get stealthy

3	Swordsman		Broadsword(Obsidian)/Atlatl(Oak)	Maguey_Clothes/Round_Leather    Swordsman_(Vet)    RNG_INF
4	Swordsman_(Vet)	Broadsword(Obsidian)/Atlatl(Oak)	Cotton_Armor/Round_Cotton    none                  RNG_INF

5   Jaguar_Warrior  Broadsword(Obsidian)/Atlatl(Tepozan)    Warrior_Suit(Jaguar)/Round_Cotton  none        RNG_INF
5   Eagle_Archer    Spear(Obsidian)/War_Bow(Tepozan)        Warrior_Suit(Eagle)/Round_Leather  none        RNG

// TODO add shorn ones and otomies.

S   Death_Shaman        Staff               Clothes             none

Class:	Jungle	    LT_GREEN   GREEN  maya.txt
1	Hunter			Unarmed/Atlatl(Oak)	Loincloth		    Warrior     RNG
1   Villager        Knife(Obsidian)/Rocks  Loincloth        Warrior     RNG_INF

2   Warrior         Shortsword(Obsidian)/Atlatl(Oak)    Loincloth   Swordsman/Spearman/Atlatlist    RNG_INF

3   Swordsman       Shortsword(Obsidian)/Atlatl(Oak)    Loincloth/Round_Cotton  Swordsman_(Vet)/Stealth_Swordsman   RNG_INF
4   Swordsman_(Vet) Shortsword(Obsidian)/Atlatl(Oak)    Cotton_Armwrap/Round_Cotton   Nagual(J)                     RNG_INF
4   Stealth_Swordsman Shortsword(Obsidian)/Atlatl(Oak)  Loincloth/Round_Cotton        Nagual(J)                     STEALTH

3   Spearman        Spear(Obsidian)                     Cotton_Armwrap/Round_Cotton   Spearman_(Vet)/Fire_Spearman  HVY_INF
4   Spearman_(Vet)  Spear(Obsidian)                     Cotton_Armor/Large_Round      Nagual(J)            HVY_INF
4   Fire_Spearman   Spear(Obsidian)/Spear(Fire)         Cotton_Armwrap/Round_Cotton   Nagual(J)          HVY_INF

3   Atlatlist       Knife(Obsidian)/Atlatl(Locust)         Loincloth   Atlatlist_(Vet)  RNG
4   Atlatlist_(Vet) Knife(Obsidian)/Atlatl(Locust)         Loincloth   Nagual(J)        RNG

// TODO add legendary mayan units -- there is evidence of warrior societies but not a lot
5   Nagual(J)       Shortsword(Obsidian)/Atlatl(Oak)    Cotton_Armor/Round_Cotton   none    RNG_INF

S   Jaguar_Shaman   Staff               Clothes             none

Class:	Forest		LT_RED    RED   oneida-no-weird.txt
1	Villager		Knife(Flint)/Rocks	               	   None			Warrior_(Nov)/Archer_(Nov)    RNG_INF
1	Hunter			Unarmed/Bow(Ash)/Hunting(Flint)        None			Warrior_(Nov)/Archer_(Nov)    RNG
1   Fisher          Spear(Flint)                           None         Warrior_(Nov)/Archer_(Nov)    HVY_INF

2   Warrior_(Nov)   War_Club(Wood)/Bow(Ash)/Broadhead(Flint)     None            Warrior/Spearman/Axeman   RNG_INF
3   Warrior         War_Club(Wood)/Bow(Hickory)/Broadhead(Flint) None            Warrior_(Vet)  RNG_INF
4   Warrior_(Vet)   War_Club(Wood)/Bow(Locust)/Broadhead(Flint)  Breastplate(Wood_Rods)/Round_Deerskin  Nagual(W)   RNG_INF

// Archer (based on Southeast culture?)
2   Archer_(Nov)    Knife(Flint)/Bow(Locust)/Broadhead(Bone)        Clothes   Archer        RNG
3   Archer          Knife(Flint)/Strongbow(Maple)/Broadhead(Bone)   Clothes   Archer_(Vet)  RNG
4   Archer_(Vet)    Knife(Flint)/Strongbow(Cedar)/Fire_Arrow        Clothes   Nagual(B)     RNG

// Heavy Infantry
3   Spearman        Spear(Flint)                           Breastplate(Wood_Rods)/Round_Elkskin     Spearman_(Vet)   HVY_INF
4	Spearman_(Vet)	Spear(Flint)/Spear(Flint)		       Breastplate(Wood_Slats)/Large_Bark		Nagual(W)       HVY_INF

// Light Infantry
3	Axeman  		Tomahawk(Flint)/Tomahawk(Flint)	       Clothes			Axeman_(Vet)    LGT_INF
4	Axeman_(Vet)	Tomahawk(Flint)/Tomahawk(Flint)        Clothes			Nagual(W)       LGT_INF

// Legendary Units?
5	Peacemaker		Staff				None            none    HVY_INF

5	Nagual(W)		War_Axe				Clothes			none    LGT_INF
5	Nagual(B)		War_Axe				Clothes			none    LGT_INF



// TODO make the plains have more heavy infantry
Class:	Plains		LT_YELLOW    YELLOW   cheyenne-no-weird.txt
1	Villager		Knife(Flint)/Rocks			           None Warrior_(Nov)/Archer_(Nov)       RNG_INF
1	Farmer			Hoe(Bone)					           None Warrior_(Nov)/Archer_(Nov)       HVY_INF
1	Hunter			Knife(Flint)/Bow(Ash)/Hunting(Flint)   None Warrior_(Nov)/Archer_(Nov)       RNG

2   Warrior_(Nov)   War_Club(Wood)/Bow(Ash)/Broadhead(Flint)     None            Warrior/Spearman/Axeman   RNG_INF
3   Warrior         War_Club(Wood)/Bow(Hickory)/Broadhead(Flint) None            Warrior_(Vet)  RNG_INF
4   Warrior_(Vet)   War_Club(Wood)/Bow(Locust)/Broadhead(Flint)  Breastplate(Wood_Rods)/Round_Deerskin  Nagual(W)   RNG_INF

// Archer (based on Southeast culture?)
2   Archer_(Nov)    Knife(Flint)/Bow(Locust)/Broadhead(Bone)        Clothes   Archer        RNG
3   Archer          Knife(Flint)/Strongbow(Maple)/Broadhead(Bone)   Clothes   Archer_(Vet)  RNG
4   Archer_(Vet)    Knife(Flint)/Strongbow(Cedar)/Fire_Arrow        Clothes   Nagual(B)     RNG

// Heavy Infantry
3   Spearman        Spear(Flint)                           Breastplate(Wood_Rods)/Round_Elkskin     Spearman_(Vet)   HVY_INF
4	Spearman_(Vet)	Spear(Flint)/Spear(Flint)		       Breastplate(Wood_Slats)/Large_Bark		Nagual(W)       HVY_INF

// Light Infantry
3	Axeman  		Tomahawk(Flint)/Tomahawk(Flint)	       Clothes			Axeman_(Vet)    LGT_INF
4	Axeman_(Vet)	Tomahawk(Flint)/Tomahawk(Flint)        Clothes			Nagual(W)       LGT_INF

// Legendary Units?
5	Peacemaker		Staff				None            none    HVY_INF

5	Nagual(W)		War_Axe				Clothes			none    LGT_INF
5	Nagual(B)		War_Axe				Clothes			none    LGT_INF


// TODO review this
Class:	Tundra		LT_PURPLE   PURPLE  inuit.txt
1	Hunter			Unarmed/Bow(Ash)/Arrow	Light_Furs			Bowman  RNG
1	Fisher			Spear				Light_Furs			Spearman        HVY_INF
1   Villager        Knife(Flint)        Light_Furs         Bowman/Spearman  LGT_INF

2	Bowman			Dagger/Bow(Ash)		Light_Furs			Axeman(W)/Bowman(H)/Clubman(B)  RNG
2	Spearman		Spear				Light_Furs			Axeman(W)/Bowman(H)/Clubman(B)  HVY_INF

3	Axeman(W)		War_Axe				Walrus_Furs			Axeman(W)/Spearman(W) LGT_INF
4	Axeman(W)		War_Axe         	Walrus_Furs			Nagual(W)             LGT_INF
